Name	MS2FormulaType	Q1	Q3	CE	Polarity	Formula	MS2Formula	IntegrationStartTime	IntegrationEndTime	Tags
PC_34:5	ConstantProduct	752.5224814166205	184.07332101418055		Positive	C42H75O8N1P1	C5H15O4N1P1	0	120	
PC_34:6	ConstantProduct	750.5068313524806	184.07332101418055		Positive	C42H73O8N1P1	C5H15O4N1P1	0	120	
PC_34:7	ConstantProduct	748.4911812883405	184.07332101418055		Positive	C42H71O8N1P1	C5H15O4N1P1	0	120	
PC_34:8	ConstantProduct	746.4755312242006	184.07332101418055		Positive	C42H69O8N1P1	C5H15O4N1P1	0	120	
PC_20:2	ConstantProduct	562.3503307110806	184.07332101418055		Positive	C28H53O8N1P1	C5H15O4N1P1	0	120	
PC_22:2	ConstantProduct	590.3816308393606	184.07332101418055		Positive	C30H57O8N1P1	C5H15O4N1P1	0	120	
PC_24:3	ConstantProduct	616.3972809035005	184.07332101418055		Positive	C32H59O8N1P1	C5H15O4N1P1	0	120	
PC_25:3	ConstantProduct	630.4129309676406	184.07332101418055		Positive	C33H61O8N1P1	C5H15O4N1P1	0	120	
PC_26:4	ConstantProduct	642.4129309676406	184.07332101418055		Positive	C34H61O8N1P1	C5H15O4N1P1	0	120	
PC_27:4	ConstantProduct	656.4285810317805	184.07332101418055		Positive	C35H63O8N1P1	C5H15O4N1P1	0	120	
PC_28:6	ConstantProduct	666.4129309676406	184.07332101418055		Positive	C36H61O8N1P1	C5H15O4N1P1	0	120	
PC_30:8	ConstantProduct	690.4129309676406	184.07332101418055		Positive	C38H61O8N1P1	C5H15O4N1P1	0	120	
PC_32:2	ConstantProduct	730.5381314807606	184.07332101418055		Positive	C40H77O8N1P1	C5H15O4N1P1	0	120	
PC_32:9	ConstantProduct	716.4285810317805	184.07332101418055		Positive	C40H63O8N1P1	C5H15O4N1P1	0	120	
PC_34:9	ConstantProduct	744.4598811600605	184.07332101418055		Positive	C42H67O8N1P1	C5H15O4N1P1	0	120	
PC_29:0	ConstantProduct	692.5224814166205	184.07332101418055		Positive	C37H75O8N1P1	C5H15O4N1P1	0	120	
PC_29:1	ConstantProduct	690.5068313524806	184.07332101418055		Positive	C37H73O8N1P1	C5H15O4N1P1	0	120	
PC_29:2	ConstantProduct	688.4911812883405	184.07332101418055		Positive	C37H71O8N1P1	C5H15O4N1P1	0	120	
PC_29:3	ConstantProduct	686.4755312242006	184.07332101418055		Positive	C37H69O8N1P1	C5H15O4N1P1	0	120	
PC_32:3	ConstantProduct	728.5224814166205	184.07332101418055		Positive	C40H75O8N1P1	C5H15O4N1P1	0	120	
